PRICE,BEDS,TYPE,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,ZIPCODE,BOROUGH,NEIGHBORHOOD,PRICE_PER_SQFT
849000.0,4.0,Multi-family home,2.0,2180.0,40.8528127,-73.8312235,10461,Bronx,Pelham - Throgs Neck,389.44954128440367
875000.0,2.0,House,2.0,1214.0,40.7565472,-73.7339718,11362,Queens,Bayside - Little Neck,720.7578253706755
599999.0,3.0,House,2.0,1360.0,40.613911,-74.133028,10314,Staten Island,Willowbrook,441.17573529411766
1150000.0,5.0,Multi-family home,3.0,2184.207862,40.6542535,-73.8350556,11414,Queens,Southwest Queens,526.5066663330232
1295000.0,4.0,Multi-family home,3.0,2440.0,40.78403,-73.80579,11357,Queens,Flushing - Clearview,530.7377049180328
250000.0,3.0,House,1.0,1376.0,40.6212165,-73.9324344,11234,Brooklyn,Canarsie - Flatlands,181.6860465116279
1648000.0,3.0,Townhouse,4.0,1751.0,40.7179519,-73.8427778,11375,Queens,Ridgewood - Forest Hills,941.1764705882352
1675000.0,4.0,House,5.0,2184.207862,40.7169141,-73.7831551,11432,Queens,Jamaica,766.8684053111424
950000.0,3.0,House,2.0,1748.0,40.7188985,-73.8587988,11374,Queens,Ridgewood - Forest Hills,543.4782608695652
449500.0,1.0,Co-op,1.0,2184.207862,40.7278952,-73.9998294,10012,Manhattan,Greenwich Village - SoHo,205.79543175364688
399000.0,3.0,Condo,1.0,500.0,40.8374911,-73.9456039,10032,Manhattan,Washington Heights - Inwood,798.0
209000.0,1.0,Co-op,1.0,1078.0,40.8915963,-73.8989828,10471,Bronx,Kingsbridge - Riverdale,193.87755102040816
280000.0,3.0,Co-op,2.0,1100.0,40.8409736,-73.8456248,10461,Bronx,Pelham - Throgs Neck,254.54545454545453
625000.0,3.0,House,2.0,2184.207862,40.6765364,-73.8351774,11417,Queens,Southwest Queens,286.14492735490387
275000.0,3.0,Co-op,1.0,2184.207862,40.7772579,-73.9476695,10128,Manhattan,Upper East Side,125.90376803615771
924800.0,4.0,Multi-family home,3.0,2049.0,40.5075446,-74.2461088,10307,Staten Island,South Beach - Tottenville,451.34211810639334
1300000.0,6.0,House,4.0,2112.0,40.7645123,-73.7595302,11361,Queens,Bayside - Little Neck,615.530303030303
995000.0,5.0,Multi-family home,2.0,2288.0,40.5501403,-74.1810379,10312,Staten Island,South Beach - Tottenville,434.8776223776224
695000.0,3.0,Townhouse,2.5,1793.0,40.5763909,-74.1631382,10314,Staten Island,Willowbrook,387.61851645287226
695000.0,3.0,Townhouse,2.5,1793.0,40.5763909,-74.1631382,10314,Staten Island,Willowbrook,387.61851645287226
998000.0,5.0,Multi-family home,3.0,1738.0,40.6898026,-73.836542,11419,Queens,Southwest Queens,574.223245109321
899000.0,7.0,Multi-family home,3.0,1980.0,40.6275175,-74.1233766,10310,Staten Island,Port Richmond,454.04040404040404
849000.0,6.0,Multi-family home,5.0,2184.207862,40.669692,-73.8003434,11436,Queens,Jamaica,388.69926931890143
235000.0,3.0,Co-op,1.0,2184.207862,40.576751,-73.8398387,11694,Queens,Rockaway,107.59049268544386
399999.0,2.0,House,1.0,2184.207862,40.5853532,-73.8227113,11694,Queens,Rockaway,183.1322956752547
520000.0,4.0,House,2.0,1701.0,40.6781418,-73.9250576,11233,Brooklyn,Bedford Stuyvesant - Crown Heights,305.70252792475014
485000.0,3.0,Condo,2.0,2184.207862,40.6479766,-73.8936697,11236,Brooklyn,Canarsie - Flatlands,222.04846362740543
215000.0,3.0,Co-op,1.0,1100.0,40.622324,-73.9695073,11230,Brooklyn,Borough Park,195.45454545454547
1288000.0,6.0,Multi-family home,5.0,2640.0,40.5294592,-74.1903024,10312,Staten Island,South Beach - Tottenville,487.8787878787879
270000.0,2.0,Co-op,2.0,900.0,40.7562792,-73.8758052,11372,Queens,West Queens,300.0
375000.0,2.0,Co-op,2.0,1200.0,40.8876529,-73.909649,10463,Bronx,Kingsbridge - Riverdale,312.5
565000.0,1.0,Co-op,1.0,2184.207862,40.6733809,-73.9732475,11215,Brooklyn,Downtown - Heights - Park Slope,258.67501432883313
