ZipCode,Population,PopulationDensity,MedianHouseholdIncome,DiversityIndex,FamilyHousehold,SingleHousehold,AvgMonthlyArrests,entertainment_and_recreation,financial_services,food_and_beverage,home_services,parking_and_automotive_services,professional_services,retail_services,transportation,TotalBusinesses,BusinessTypeCount,AvgMonthlyNoiseComplaints,cultural_facility,education_facility,health_services,public_safety,recreational_facility,religious_institution,transportation_facility,passenger_count,BusinessDensity,ArrestsPerCapita,NoiseComplaintsPerCapita,FamilyHouseholdRatio,cultural_facility_density,education_facility_density,health_services_density,public_safety_density,recreational_facility_density,religious_institution_density,transportation_facility_density,AmenityScore,SafetyScore,QuietScore,FamilyFriendlinessScore,BusinessEnvironmentScore,IncomeCategory,PopulationDensityCategory,LivelinessScore,Latitude,Longitude,BOROUGH
10001,0.1784601156069364,0.22940135404668932,0.29156700835231586,0.657537829000435,0.1166217057480805,0.2647503274119345,0.12599546202785064,0.2608695652173913,0.15625,0.0,0.3464285714285714,0.47126436781609193,0.6301369863013698,0.5422740524781341,0.030303030303030304,0.19469026548672552,0.8333333333333333,0.35263981818096085,0.0,0.10975609756097561,0.0,0.0,0.04395604395604396,0.11428571428571428,0.0,18950750.0,0.06427494255531199,0.05063723108004456,0.7002420790267304,0.0896882604764368,0.0,0.12130280102914762,0.0,0.0,0.019365702284579997,0.10649349855234634,0.0,0.04641350210970463,0.9448866781349174,0.2970301895812639,0.0896882604764368,0.8333333333333333,High,Medium,0.9775300847163372,40.750633,-73.997177,Manhattan
10002,0.736221965317919,0.6410512121808017,0.06162680334092639,0.8552611299253765,0.7356297987134259,0.6421471506766512,0.4140677136628553,0.22826086956521738,0.09375,0.0,0.175,0.26436781609195403,0.6301369863013698,0.565597667638484,0.010101010101010102,0.16137428422696498,0.8333333333333333,0.777731411408013,0.125,0.3536585365853659,0.07692307692307693,0.45,0.4945054945054946,0.34285714285714286,0.5853658536585367,5397812.5,0.0031453262853141616,0.041252676356794055,0.38243946953269653,0.4405756280452788,0.03794220611718462,0.10131463444593909,0.014789337919174547,0.09634565778159931,0.051129676740984696,0.08281141652567052,0.02601856563777704,0.5063291139240507,0.9577307218766151,0.6144786039679673,0.4405756280452788,0.8333333333333333,Very Low,Very High,0.8479827796639517,40.715775,-73.986212,Manhattan
10003,0.5014381502890173,0.6734626513470238,0.34314730447987857,0.45366246420362694,0.27835650549906615,0.7683602538701769,0.42263202384659876,0.3804347826086956,0.0,0.0,0.16428571428571428,0.48275862068965514,0.2876712328767123,0.5102040816326531,0.0,0.15252472670484174,0.5,0.6022802823476158,0.525,0.8536585365853658,0.07692307692307693,0.25,0.054945054945054944,0.6857142857142857,0.04878048780487805,11962612.0,0.012706484752058596,0.06354214060192513,0.43555950515661485,0.038836344649399446,0.2315663822647437,0.3553659929716532,0.021490789661573608,0.07777916607168356,0.006794808824450349,0.2406710488131814,0.003150690520389221,0.5189873417721519,0.9334276700933195,0.5612346332892031,0.038836344649399446,0.5,Very High,Very High,0.9300728166742938,40.731829,-73.989181,Manhattan
10004,0.011865895953757224,0.02966542124336321,0.517658504176158,0.5444632059701615,0.009047520232413361,0.010225326572416794,0.20007118387685188,0.03260869565217391,0.53125,0.0,0.039285714285714285,0.06896551724137931,0.0547945205479452,0.09912536443148688,0.020202020202020204,0.027069234773555273,0.8333333333333333,0.07048552661979735,0.05,0.012195121951219513,0.0,0.0,0.1318681318681319,0.0,0.8536585365853658,2627150.0,0.5270270301292064,0.5898100446112299,0.9963776079164879,0.1657441614693167,0.39998381353188733,0.0920733681276599,0.0,0.0,0.4038614266836237,0.0,1.0,0.18565400843881855,0.382492243257083,0.003575668726426784,0.1657441614693167,0.8333333333333333,Very High,Very Low,0.7737014054709899,40.68863,-74.018244,Manhattan
10005,0.04928554913294798,0.6724794224232379,0.49562452543659824,0.5538782853503876,0.023407345922390535,0.08954296652003088,0.20485385060283845,0.06521739130434782,0.125,0.0,0.03571428571428571,0.05747126436781609,0.0821917808219178,0.11661807580174927,0.0,0.0244664237376373,0.6666666666666665,0.07995133888786725,0.1,0.04878048780487805,0.0,0.05,0.04395604395604396,0.05714285714285714,0.3902439024390244,1628603.5,0.21780695878927428,0.2585833671848084,0.46794521305912795,0.003926518748097907,0.34633496846531187,0.15944758746816617,0.0,0.12214435879467413,0.06427005139004904,0.15747903338834005,0.19791370507558317,0.10548523206751054,0.7286801806782606,0.5288095448596977,0.003926518748097907,0.6666666666666665,Very High,Very High,0.724375057847435,40.706027,-74.008835,Manhattan
10006,0.01114450867052023,0.22123353091552656,0.4700170842824602,0.577572498055694,0.0016185930691014743,0.019006682561536647,0.20007118387685188,0.021739130434782608,0.09375,0.0,0.010714285714285714,0.034482758620689655,0.0,0.03206997084548105,0.010101010101010102,0.0,0.6666666666666665,0.046084242192767785,0.1,0.024390243902439025,0.0,0.05,0.0,0.02857142857142857,0.04878048780487805,2798621.0,0.5382631456739378,0.6052162569759704,0.6674014001582463,0.010809989366135198,0.8206908003985387,0.18891706021012386,0.0,0.2894387246761873,0.028579495446822267,0.1865846734018277,0.05862314371115435,0.016877637130801686,0.3752989606875481,0.3297127372886166,0.010809989366135198,0.6666666666666665,Very High,Medium,0.7802236106264484,40.709614,-74.012954,Manhattan
10007,0.04792601156069363,0.2911481304604321,0.9292188686408506,0.4659775778065158,0.04129487445528117,0.027317908593304005,0.20007118387685188,0.05434782608695652,0.03125,0.0,0.02142857142857143,0.10344827586206896,0.2328767123287671,0.20116618075801748,0.0,0.04424778761061976,0.6666666666666665,0.0884693911231192,0.025,0.012195121951219513,0.0,0.1,0.021978021978021976,0.0,0.0,3275481.5,0.2236770889246179,0.2579825471568379,0.532106156428832,0.3646639024648401,0.08840512306811678,0.040700434193809594,0.0,0.24942759015455065,0.03798890831042029,0.0,0.0,0.0,0.7330574032998136,0.4646513561702932,0.3646639024648401,0.6666666666666665,Very High,Medium,0.7964538329728731,40.713848,-74.007755,Manhattan
10009,0.5506682080924855,0.6896437902070399,0.18838743356112375,0.7098064503519048,0.4393857646814692,0.7199368682628696,0.2166436802064332,0.44565217391304346,0.0,0.0,0.075,0.13793103448275862,0.3561643835616438,0.24489795918367346,0.0,0.08537220197813689,0.5,0.7145497668321711,0.1,0.2682926829268293,0.038461538461538464,0.15000000000000002,0.5934065934065935,0.45714285714285713,0.2682926829268293,6636185.0,0.00968509488189093,0.027461554591431247,0.474793821537944,0.18787887622776978,0.040280698322656364,0.10199556541019952,0.009813030792051768,0.042618220939899254,0.08322295264873562,0.14652555505251194,0.015825200440585056,0.4430379746835443,0.9708692640599281,0.5219561149104948,0.18787887622776978,0.5,Medium,Very High,0.8692887908782698,40.726399,-73.978631,Manhattan
10010,0.27771560693641617,0.5631935275444561,0.36884491268033415,0.5074530570088538,0.18671923635609047,0.4139997985157326,0.37091248832139523,0.2391304347826087,0.09375,1.0,0.09285714285714286,0.29885057471264365,0.2328767123287671,0.24198250728862974,0.0,0.0832899531494018,0.8333333333333333,0.23941785843954377,0.17500000000000002,0.3536585365853659,0.15384615384615385,0.30000000000000004,0.14285714285714288,0.2857142857142857,0.12195121951219512,12338763.0,0.03539272733872715,0.10097303875895022,0.2951531413478139,0.09534478662676366,0.1358429666394421,0.2590948165560062,0.0756423949236665,0.1642583401394735,0.03900292400535002,0.17648000616099235,0.013862088153726025,0.2869198312236287,0.8961762175222105,0.7021290607259658,0.09534478662676366,0.8333333333333333,Very High,Very High,0.9332664626595213,40.739065,-73.982255,Manhattan
10011,0.45482543352601146,0.5347430963283423,0.3986617312072893,0.383753166787605,0.299149201079062,0.8090264951811678,0.3736931085109222,0.44565217391304346,0.03125,0.0,0.18214285714285713,0.47126436781609193,0.4246575342465753,0.4110787172011662,0.020202020202020204,0.15096304008329042,0.8333333333333333,0.4756364373653214,0.30000000000000004,0.41463414634146345,0.07692307692307693,0.25,0.20879120879120883,0.3142857142857143,0.1951219512195122,14455317.0,0.015738746296163036,0.06169237214450442,0.3733432321362651,0.04358135502195315,0.14540444060881846,0.1896692601791858,0.023615251843715674,0.08546798995763376,0.034404176207792014,0.12121196782798398,0.013848602362645986,0.35864978902953587,0.9356239126204393,0.6236034669446298,0.04358135502195315,0.8333333333333333,Very High,Very High,0.9495976212354534,40.742039,-74.00062,Manhattan
