ZipCode,Population,PopulationDensity,MedianHouseholdIncome,DiversityIndex,FamilyHousehold,SingleHousehold,AvgMonthlyArrests,entertainment_and_recreation,financial_services,food_and_beverage,home_services,parking_and_automotive_services,professional_services,retail_services,transportation,TotalBusinesses,BusinessTypeCount,AvgMonthlyNoiseComplaints,cultural_facility,education_facility,health_services,public_safety,recreational_facility,religious_institution,transportation_facility,passenger_count,BusinessDensity,ArrestsPerCapita,NoiseComplaintsPerCapita,FamilyHouseholdRatio,cultural_facility_density,education_facility_density,health_services_density,public_safety_density,recreational_facility_density,religious_institution_density,transportation_facility_density,AmenityScore,SafetyScore,QuietScore,FamilyFriendlinessScore,BusinessEnvironmentScore,IncomeCategory,PopulationDensityCategory,LivelinessScore,Latitude,Longitude,BOROUGH
10001,0.1784601156069364,0.2294013540466893,0.2915670083523158,0.657537829000435,0.1166217057480805,0.2647503274119345,0.1259954620278506,0.2608695652173913,0.15625,0.0,0.3464285714285714,0.4712643678160919,0.6301369863013698,0.5422740524781341,0.0303030303030303,0.1946902654867255,0.8333333333333333,0.3526398181809608,0.0,0.1097560975609756,0.0,0.0,0.0439560439560439,0.1142857142857142,0.0,18950750.0,0.0642749425553119,0.0506372310800445,0.7002420790267304,0.0896882604764368,0.0,0.1213028010291476,0.0,0.0,0.0193657022845799,0.1064934985523463,0.0,0.0464135021097046,0.9448866781349174,0.2970301895812639,0.0896882604764368,0.8333333333333333,High,Medium,0.9775300847163372,40.750633,-73.997177,Manhattan
10002,0.736221965317919,0.6410512121808017,0.0616268033409263,0.8552611299253765,0.7356297987134259,0.6421471506766512,0.4140677136628553,0.2282608695652173,0.09375,0.0,0.175,0.264367816091954,0.6301369863013698,0.565597667638484,0.0101010101010101,0.1613742842269649,0.8333333333333333,0.777731411408013,0.125,0.3536585365853659,0.0769230769230769,0.45,0.4945054945054946,0.3428571428571428,0.5853658536585367,5397812.5,0.0031453262853141,0.041252676356794,0.3824394695326965,0.4405756280452788,0.0379422061171846,0.101314634445939,0.0147893379191745,0.0963456577815993,0.0511296767409846,0.0828114165256705,0.026018565637777,0.5063291139240507,0.9577307218766152,0.6144786039679673,0.4405756280452788,0.8333333333333333,Very Low,Very High,0.8479827796639517,40.715775,-73.986212,Manhattan
10003,0.5014381502890173,0.6734626513470238,0.3431473044798785,0.4536624642036269,0.2783565054990661,0.7683602538701769,0.4226320238465987,0.3804347826086956,0.0,0.0,0.1642857142857142,0.4827586206896551,0.2876712328767123,0.5102040816326531,0.0,0.1525247267048417,0.5,0.6022802823476158,0.525,0.8536585365853658,0.0769230769230769,0.25,0.0549450549450549,0.6857142857142857,0.048780487804878,11962612.0,0.0127064847520585,0.0635421406019251,0.4355595051566148,0.0388363446493994,0.2315663822647437,0.3553659929716532,0.0214907896615736,0.0777791660716835,0.0067948088244503,0.2406710488131814,0.0031506905203892,0.5189873417721519,0.9334276700933196,0.5612346332892031,0.0388363446493994,0.5,Very High,Very High,0.9300728166742938,40.731829,-73.989181,Manhattan
10004,0.0118658959537572,0.0296654212433632,0.517658504176158,0.5444632059701615,0.0090475202324133,0.0102253265724167,0.2000711838768518,0.0326086956521739,0.53125,0.0,0.0392857142857142,0.0689655172413793,0.0547945205479452,0.0991253644314868,0.0202020202020202,0.0270692347735552,0.8333333333333333,0.0704855266197973,0.05,0.0121951219512195,0.0,0.0,0.1318681318681319,0.0,0.8536585365853658,2627150.0,0.5270270301292064,0.5898100446112299,0.996377607916488,0.1657441614693167,0.3999838135318873,0.0920733681276599,0.0,0.0,0.4038614266836237,0.0,1.0,0.1856540084388185,0.382492243257083,0.0035756687264267,0.1657441614693167,0.8333333333333333,Very High,Very Low,0.7737014054709899,40.68863,-74.018244,Manhattan
10005,0.0492855491329479,0.6724794224232379,0.4956245254365982,0.5538782853503876,0.0234073459223905,0.0895429665200308,0.2048538506028384,0.0652173913043478,0.125,0.0,0.0357142857142857,0.057471264367816,0.0821917808219178,0.1166180758017492,0.0,0.0244664237376373,0.6666666666666665,0.0799513388878672,0.1,0.048780487804878,0.0,0.05,0.0439560439560439,0.0571428571428571,0.3902439024390244,1628603.5,0.2178069587892742,0.2585833671848084,0.4679452130591279,0.0039265187480979,0.3463349684653118,0.1594475874681661,0.0,0.1221443587946741,0.064270051390049,0.15747903338834,0.1979137050755831,0.1054852320675105,0.7286801806782606,0.5288095448596977,0.0039265187480979,0.6666666666666665,Very High,Very High,0.724375057847435,40.706027,-74.008835,Manhattan
10006,0.0111445086705202,0.2212335309155265,0.4700170842824602,0.577572498055694,0.0016185930691014,0.0190066825615366,0.2000711838768518,0.0217391304347826,0.09375,0.0,0.0107142857142857,0.0344827586206896,0.0,0.032069970845481,0.0101010101010101,0.0,0.6666666666666665,0.0460842421927677,0.1,0.024390243902439,0.0,0.05,0.0,0.0285714285714285,0.048780487804878,2798621.0,0.5382631456739378,0.6052162569759704,0.6674014001582463,0.0108099893661351,0.8206908003985387,0.1889170602101238,0.0,0.2894387246761873,0.0285794954468222,0.1865846734018277,0.0586231437111543,0.0168776371308016,0.3752989606875481,0.3297127372886166,0.0108099893661351,0.6666666666666665,Very High,Medium,0.7802236106264484,40.709614,-74.012954,Manhattan
10007,0.0479260115606936,0.2911481304604321,0.9292188686408506,0.4659775778065158,0.0412948744552811,0.027317908593304,0.2000711838768518,0.0543478260869565,0.03125,0.0,0.0214285714285714,0.1034482758620689,0.2328767123287671,0.2011661807580174,0.0,0.0442477876106197,0.6666666666666665,0.0884693911231192,0.025,0.0121951219512195,0.0,0.1,0.0219780219780219,0.0,0.0,3275481.5,0.2236770889246179,0.2579825471568379,0.532106156428832,0.3646639024648401,0.0884051230681167,0.0407004341938095,0.0,0.2494275901545506,0.0379889083104202,0.0,0.0,0.0,0.7330574032998136,0.4646513561702932,0.3646639024648401,0.6666666666666665,Very High,Medium,0.7964538329728731,40.713848,-74.007755,Manhattan
10009,0.5506682080924855,0.6896437902070399,0.1883874335611237,0.7098064503519048,0.4393857646814692,0.7199368682628696,0.2166436802064332,0.4456521739130434,0.0,0.0,0.075,0.1379310344827586,0.3561643835616438,0.2448979591836734,0.0,0.0853722019781368,0.5,0.7145497668321711,0.1,0.2682926829268293,0.0384615384615384,0.15,0.5934065934065935,0.4571428571428571,0.2682926829268293,6636185.0,0.0096850948818909,0.0274615545914312,0.474793821537944,0.1878788762277697,0.0402806983226563,0.1019955654101995,0.0098130307920517,0.0426182209398992,0.0832229526487356,0.1465255550525119,0.015825200440585,0.4430379746835443,0.970869264059928,0.5219561149104948,0.1878788762277697,0.5,Medium,Very High,0.8692887908782698,40.726399,-73.978631,Manhattan
10010,0.2777156069364161,0.5631935275444561,0.3688449126803341,0.5074530570088538,0.1867192363560904,0.4139997985157326,0.3709124883213952,0.2391304347826087,0.09375,1.0,0.0928571428571428,0.2988505747126436,0.2328767123287671,0.2419825072886297,0.0,0.0832899531494018,0.8333333333333333,0.2394178584395437,0.175,0.3536585365853659,0.1538461538461538,0.3,0.1428571428571428,0.2857142857142857,0.1219512195121951,12338763.0,0.0353927273387271,0.1009730387589502,0.2951531413478139,0.0953447866267636,0.1358429666394421,0.2590948165560062,0.0756423949236665,0.1642583401394735,0.03900292400535,0.1764800061609923,0.013862088153726,0.2869198312236287,0.8961762175222105,0.7021290607259658,0.0953447866267636,0.8333333333333333,Very High,Very High,0.9332664626595212,40.739065,-73.982255,Manhattan
10011,0.4548254335260114,0.5347430963283423,0.3986617312072893,0.383753166787605,0.299149201079062,0.8090264951811678,0.3736931085109222,0.4456521739130434,0.03125,0.0,0.1821428571428571,0.4712643678160919,0.4246575342465753,0.4110787172011662,0.0202020202020202,0.1509630400832904,0.8333333333333333,0.4756364373653214,0.3,0.4146341463414634,0.0769230769230769,0.25,0.2087912087912088,0.3142857142857143,0.1951219512195122,14455317.0,0.015738746296163,0.0616923721445044,0.3733432321362651,0.0435813550219531,0.1454044406088184,0.1896692601791858,0.0236152518437156,0.0854679899576337,0.034404176207792,0.1212119678279839,0.0138486023626459,0.3586497890295358,0.9356239126204392,0.6236034669446298,0.0435813550219531,0.8333333333333333,Very High,Very High,0.9495976212354534,40.742039,-74.00062,Manhattan
